id,text
"Mehtar Lām,Afghanistan,Laghmān","Mehtar Lām,Afghanistan,Laghmān"
"Mazār-e Sharīf,Afghanistan,Balkh","Mazār-e Sharīf,Afghanistan,Balkh"
"Lashkar Gāh,Afghanistan,Helmand","Lashkar Gāh,Afghanistan,Helmand"
"Kushk,Afghanistan,Herat","Kushk,Afghanistan,Herat"
"Kunduz,Afghanistan,Kunduz","Kunduz,Afghanistan,Kunduz"
"Khōst,Afghanistan,Khowst","Khōst,Afghanistan,Khowst"
"Khulm,Afghanistan,Balkh","Khulm,Afghanistan,Balkh"
"Khāsh,Afghanistan,Nīmrūz","Khāsh,Afghanistan,Nīmrūz"
"Khanabad,Afghanistan,Kunduz","Khanabad,Afghanistan,Kunduz"
"Karukh,Afghanistan,Herat","Karukh,Afghanistan,Herat"
"Kandahār,Afghanistan,Kandahār","Kandahār,Afghanistan,Kandahār"
"Kabul,Afghanistan,Kabul","Kabul,Afghanistan,Kabul"
"Jalālābād,Afghanistan,Nangarhār","Jalālābād,Afghanistan,Nangarhār"
"Jabal os Saraj,Afghanistan,Parvān","Jabal os Saraj,Afghanistan,Parvān"
"Herāt,Afghanistan,Herat","Herāt,Afghanistan,Herat"
"Ghormach,Afghanistan,Badghis","Ghormach,Afghanistan,Badghis"
"Ghazni,Afghanistan,Ghaznī","Ghazni,Afghanistan,Ghaznī"
"Gereshk,Afghanistan,Helmand","Gereshk,Afghanistan,Helmand"
"Gardēz,Afghanistan,Paktia","Gardēz,Afghanistan,Paktia"
"Fayzabad,Afghanistan,Badakhshan","Fayzabad,Afghanistan,Badakhshan"
"Farah,Afghanistan,Farah","Farah,Afghanistan,Farah"
"Kafir Qala,Afghanistan,Herat","Kafir Qala,Afghanistan,Herat"
"Charikar,Afghanistan,Parvān","Charikar,Afghanistan,Parvān"
"Barakī Barak,Afghanistan,Lowgar","Barakī Barak,Afghanistan,Lowgar"
"Bāmyān,Afghanistan,Bāmīān","Bāmyān,Afghanistan,Bāmīān"
"Balkh,Afghanistan,Balkh","Balkh,Afghanistan,Balkh"
"Baghlān,Afghanistan,Wilāyat-e Baghlān","Baghlān,Afghanistan,Wilāyat-e Baghlān"
"Ārt Khwājah,Afghanistan,Takhār","Ārt Khwājah,Afghanistan,Takhār"
"Āsmār,Afghanistan,Konar","Āsmār,Afghanistan,Konar"
"Asadābād,Afghanistan,Konar","Asadābād,Afghanistan,Konar"
"Andkhōy,Afghanistan,Faryab","Andkhōy,Afghanistan,Faryab"
"Bāzārak,Afghanistan,Panjshir","Bāzārak,Afghanistan,Panjshir"
"Markaz-e Woluswalī-ye Āchīn,Afghanistan,Nangarhār","Markaz-e Woluswalī-ye Āchīn,Afghanistan,Nangarhār"
"Saint John’s,Antigua and Barbuda,Saint John","Saint John’s,Antigua and Barbuda,Saint John"
"The Valley,Anguilla,N/A","The Valley,Anguilla,N/A"
"Sarandë,Albania,Vlorë","Sarandë,Albania,Vlorë"
"Kukës,Albania,Kukës","Kukës,Albania,Kukës"
"Korçë,Albania,Korçë","Korçë,Albania,Korçë"
"Gjirokastër,Albania,Gjirokastër","Gjirokastër,Albania,Gjirokastër"
"Elbasan,Albania,Elbasan","Elbasan,Albania,Elbasan"
"Burrel,Albania,Dibër","Burrel,Albania,Dibër"
"Vlorë,Albania,Vlorë","Vlorë,Albania,Vlorë"
"Tirana,Albania,Tiranë","Tirana,Albania,Tiranë"
"Shkodër,Albania,Shkodër","Shkodër,Albania,Shkodër"
"Patos Fshat,Albania,Fier","Patos Fshat,Albania,Fier"
"Lushnjë,Albania,Fier","Lushnjë,Albania,Fier"
"Lezhë,Albania,Lezhë","Lezhë,Albania,Lezhë"
"Laç,Albania,Lezhë","Laç,Albania,Lezhë"
"Kuçovë,Albania,Berat","Kuçovë,Albania,Berat"
"Krujë,Albania,Durrës","Krujë,Albania,Durrës"
"Kavajë,Albania,Tiranë","Kavajë,Albania,Tiranë"
"Fier-Çifçi,Albania,Fier","Fier-Çifçi,Albania,Fier"
"Fier,Albania,Fier","Fier,Albania,Fier"
"Durrës,Albania,Durrës","Durrës,Albania,Durrës"
"Berat,Albania,Berat","Berat,Albania,Berat"
"Kapan,Armenia,Syunik Province","Kapan,Armenia,Syunik Province"
"Goris,Armenia,Syunik Province","Goris,Armenia,Syunik Province"
"Hats’avan,Armenia,Syunik Province","Hats’avan,Armenia,Syunik Province"
"Artashat,Armenia,Ararat Province","Artashat,Armenia,Ararat Province"
"Ararat,Armenia,Ararat Province","Ararat,Armenia,Ararat Province"
"Yerevan,Armenia,Yerevan","Yerevan,Armenia,Yerevan"
"Ejmiatsin,Armenia,Armavir Province","Ejmiatsin,Armenia,Armavir Province"
"Spitak,Armenia,Lori Province","Spitak,Armenia,Lori Province"
"Sevan,Armenia,Gegharkunik Province","Sevan,Armenia,Gegharkunik Province"
"Masis,Armenia,Ararat Province","Masis,Armenia,Ararat Province"
"Vanadzor,Armenia,Lori Province","Vanadzor,Armenia,Lori Province"
"Gavarr,Armenia,Gegharkunik Province","Gavarr,Armenia,Gegharkunik Province"
"Hrazdan,Armenia,Kotayk Province","Hrazdan,Armenia,Kotayk Province"
"Armavir,Armenia,Armavir Province","Armavir,Armenia,Armavir Province"
"Gyumri,Armenia,Shirak Province","Gyumri,Armenia,Shirak Province"
"Ashtarak,Armenia,Aragatsotn Province","Ashtarak,Armenia,Aragatsotn Province"
"Abovyan,Armenia,Kotayk Province","Abovyan,Armenia,Kotayk Province"
"Saurimo,Angola,Lunda Sul","Saurimo,Angola,Lunda Sul"
"Lucapa,Angola,Lunda Norte","Lucapa,Angola,Lunda Norte"
"Luau,Angola,Moxico","Luau,Angola,Moxico"
"Uíge,Angola,Uíge","Uíge,Angola,Uíge"
"Soio,Angola,Zaire","Soio,Angola,Zaire"
"Nzeto,Angola,Zaire","Nzeto,Angola,Zaire"
"N’dalatando,Angola,Cuanza Norte","N’dalatando,Angola,Cuanza Norte"
"Mbanza Congo,Angola,Zaire","Mbanza Congo,Angola,Zaire"
"Malanje,Angola,Malanje","Malanje,Angola,Malanje"
"Luanda,Angola,Luanda","Luanda,Angola,Luanda"
"Caxito,Angola,Bengo","Caxito,Angola,Bengo"
"Cabinda,Angola,Cabinda","Cabinda,Angola,Cabinda"
"Sumbe,Angola,Cuanza Sul","Sumbe,Angola,Cuanza Sul"
"Namibe,Angola,Namibe","Namibe,Angola,Namibe"
"Menongue,Angola,Cuando Cubango","Menongue,Angola,Cuando Cubango"
"Luena,Angola,Moxico","Luena,Angola,Moxico"
"Lubango,Angola,Huíla","Lubango,Angola,Huíla"
"Longonjo,Angola,Huambo","Longonjo,Angola,Huambo"
"Lobito,Angola,Benguela","Lobito,Angola,Benguela"
"Cuito,Angola,Bié","Cuito,Angola,Bié"
"Huambo,Angola,Huambo","Huambo,Angola,Huambo"
"Catumbela,Angola,Benguela","Catumbela,Angola,Benguela"
"Catabola,Angola,Bié","Catabola,Angola,Bié"
"Camacupa,Angola,Bié","Camacupa,Angola,Bié"
"Caluquembe,Angola,Huíla","Caluquembe,Angola,Huíla"
"Caála,Angola,Huambo","Caála,Angola,Huambo"
"Benguela,Angola,Benguela","Benguela,Angola,Benguela"
"Zárate,Argentina,Buenos Aires","Zárate,Argentina,Buenos Aires"
"Villa Ocampo,Argentina,Santa Fe","Villa Ocampo,Argentina,Santa Fe"
"Villa Lugano,Argentina,Buenos Aires F.D.","Villa Lugano,Argentina,Buenos Aires F.D."
"Villaguay,Argentina,Entre Rios","Villaguay,Argentina,Entre Rios"
"Villa Gesell,Argentina,Buenos Aires","Villa Gesell,Argentina,Buenos Aires"
"Tigre,Argentina,Buenos Aires","Tigre,Argentina,Buenos Aires"
"Tandil,Argentina,Buenos Aires","Tandil,Argentina,Buenos Aires"
"San Vicente,Argentina,Misiones","San Vicente,Argentina,Misiones"
"Santo Tomé,Argentina,Corrientes","Santo Tomé,Argentina,Corrientes"
"Santa Elena,Argentina,Entre Rios","Santa Elena,Argentina,Entre Rios"
"San Pedro,Argentina,Misiones","San Pedro,Argentina,Misiones"
"San Luis del Palmar,Argentina,Corrientes","San Luis del Palmar,Argentina,Corrientes"
"San Lorenzo,Argentina,Corrientes","San Lorenzo,Argentina,Corrientes"
"San Javier,Argentina,Santa Fe","San Javier,Argentina,Santa Fe"
"San Isidro,Argentina,Buenos Aires","San Isidro,Argentina,Buenos Aires"
"Saladas,Argentina,Corrientes","Saladas,Argentina,Corrientes"
"Retiro,Argentina,Buenos Aires F.D.","Retiro,Argentina,Buenos Aires F.D."
"Resistencia,Argentina,Chaco","Resistencia,Argentina,Chaco"
"Reconquista,Argentina,Santa Fe","Reconquista,Argentina,Santa Fe"
"Quilmes,Argentina,Buenos Aires","Quilmes,Argentina,Buenos Aires"
"Puerto Rico,Argentina,Misiones","Puerto Rico,Argentina,Misiones"
"Puerto Iguazú,Argentina,Misiones","Puerto Iguazú,Argentina,Misiones"
"Puerto Esperanza,Argentina,Misiones","Puerto Esperanza,Argentina,Misiones"
"Puerto Eldorado,Argentina,Misiones","Puerto Eldorado,Argentina,Misiones"
"Posadas,Argentina,Misiones","Posadas,Argentina,Misiones"
"Pontevedra,Argentina,Buenos Aires","Pontevedra,Argentina,Buenos Aires"
"Pirané,Argentina,Formosa","Pirané,Argentina,Formosa"
"Paso de los Libres,Argentina,Corrientes","Paso de los Libres,Argentina,Corrientes"
"Oberá,Argentina,Misiones","Oberá,Argentina,Misiones"
"Necochea,Argentina,Buenos Aires","Necochea,Argentina,Buenos Aires"
"Morón,Argentina,Buenos Aires","Morón,Argentina,Buenos Aires"
"Monte Caseros,Argentina,Corrientes","Monte Caseros,Argentina,Corrientes"
"Montecarlo,Argentina,Misiones","Montecarlo,Argentina,Misiones"
"Mercedes,Argentina,Buenos Aires","Mercedes,Argentina,Buenos Aires"
"Mercedes,Argentina,Corrientes","Mercedes,Argentina,Corrientes"
"Mar del Plata,Argentina,Buenos Aires","Mar del Plata,Argentina,Buenos Aires"
"Luján,Argentina,Buenos Aires","Luján,Argentina,Buenos Aires"
"La Plata,Argentina,Buenos Aires","La Plata,Argentina,Buenos Aires"
"La Paz,Argentina,Entre Rios","La Paz,Argentina,Entre Rios"
"Jardín América,Argentina,Misiones","Jardín América,Argentina,Misiones"
"Gualeguaychú,Argentina,Entre Rios","Gualeguaychú,Argentina,Entre Rios"
"Gualeguay,Argentina,Entre Rios","Gualeguay,Argentina,Entre Rios"
"Goya,Argentina,Corrientes","Goya,Argentina,Corrientes"
"Gobernador Ingeniero Valentín Virasoro,Argentina,Corrientes","Gobernador Ingeniero Valentín Virasoro,Argentina,Corrientes"
"General José de San Martín,Argentina,Chaco","General José de San Martín,Argentina,Chaco"
"Garupá,Argentina,Misiones","Garupá,Argentina,Misiones"
"Formosa,Argentina,Formosa","Formosa,Argentina,Formosa"
"Fontana,Argentina,Chaco","Fontana,Argentina,Chaco"
"Federal,Argentina,Entre Rios","Federal,Argentina,Entre Rios"
"Esquina,Argentina,Corrientes","Esquina,Argentina,Corrientes"
"El Soberbio,Argentina,Misiones","El Soberbio,Argentina,Misiones"
"Dolores,Argentina,Buenos Aires","Dolores,Argentina,Buenos Aires"
"Curuzú Cuatiá,Argentina,Corrientes","Curuzú Cuatiá,Argentina,Corrientes"
"Corrientes,Argentina,Corrientes","Corrientes,Argentina,Corrientes"
"Concordia,Argentina,Entre Rios","Concordia,Argentina,Entre Rios"
"Concepción del Uruguay,Argentina,Entre Rios","Concepción del Uruguay,Argentina,Entre Rios"
"Colegiales,Argentina,Buenos Aires F.D.","Colegiales,Argentina,Buenos Aires F.D."
"Chajarí,Argentina,Entre Rios","Chajarí,Argentina,Entre Rios"
"Campana,Argentina,Buenos Aires","Campana,Argentina,Buenos Aires"
"Buenos Aires,Argentina,Buenos Aires F.D.","Buenos Aires,Argentina,Buenos Aires F.D."
"Barranqueras,Argentina,Chaco","Barranqueras,Argentina,Chaco"
"Azul,Argentina,Buenos Aires","Azul,Argentina,Buenos Aires"
"Avellaneda,Argentina,Santa Fe","Avellaneda,Argentina,Santa Fe"
"Aristóbulo del Valle,Argentina,Misiones","Aristóbulo del Valle,Argentina,Misiones"
"Zapala,Argentina,Neuquen","Zapala,Argentina,Neuquen"
"Yerba Buena,Argentina,Tucumán","Yerba Buena,Argentina,Tucumán"
"Villa Regina,Argentina,Rio Negro","Villa Regina,Argentina,Rio Negro"
"Villa Paula de Sarmiento,Argentina,San Juan","Villa Paula de Sarmiento,Argentina,San Juan"
"Villa Nueva,Argentina,Cordoba","Villa Nueva,Argentina,Cordoba"
"Villa María,Argentina,Cordoba","Villa María,Argentina,Cordoba"
"Villa Dolores,Argentina,Cordoba","Villa Dolores,Argentina,Cordoba"
"Villa Constitución,Argentina,Santa Fe","Villa Constitución,Argentina,Santa Fe"
"Villa Carlos Paz,Argentina,Cordoba","Villa Carlos Paz,Argentina,Cordoba"
"Villa Ángela,Argentina,Chaco","Villa Ángela,Argentina,Chaco"
"Villa Allende,Argentina,Cordoba","Villa Allende,Argentina,Cordoba"
"Viedma,Argentina,Rio Negro","Viedma,Argentina,Rio Negro"
"Victoria,Argentina,Entre Rios","Victoria,Argentina,Entre Rios"
"Vera,Argentina,Santa Fe","Vera,Argentina,Santa Fe"
"Venado Tuerto,Argentina,Santa Fe","Venado Tuerto,Argentina,Santa Fe"
"Veinticinco de Mayo,Argentina,Buenos Aires","Veinticinco de Mayo,Argentina,Buenos Aires"
"Ushuaia,Argentina,Tierra del Fuego","Ushuaia,Argentina,Tierra del Fuego"
"Unquillo,Argentina,Cordoba","Unquillo,Argentina,Cordoba"
"Tres Isletas,Argentina,Chaco","Tres Isletas,Argentina,Chaco"
"Tres Arroyos,Argentina,Buenos Aires","Tres Arroyos,Argentina,Buenos Aires"
"Trelew,Argentina,Chubut","Trelew,Argentina,Chubut"
"Termas de Río Hondo,Argentina,Santiago del Estero","Termas de Río Hondo,Argentina,Santiago del Estero"
"Tartagal,Argentina,Salta","Tartagal,Argentina,Salta"
"Tafí Viejo,Argentina,Tucumán","Tafí Viejo,Argentina,Tucumán"
"Sunchales,Argentina,Santa Fe","Sunchales,Argentina,Santa Fe"
"Santo Tomé,Argentina,Santa Fe","Santo Tomé,Argentina,Santa Fe"
"Santiago del Estero,Argentina,Santiago del Estero","Santiago del Estero,Argentina,Santiago del Estero"
"Santa Rosa,Argentina,La Pampa","Santa Rosa,Argentina,La Pampa"
"Santa Lucía,Argentina,San Juan","Santa Lucía,Argentina,San Juan"
"Santa Fe de la Vera Cruz,Argentina,Santa Fe","Santa Fe de la Vera Cruz,Argentina,Santa Fe"
"San Salvador de Jujuy,Argentina,Jujuy","San Salvador de Jujuy,Argentina,Jujuy"
"San Ramón de la Nueva Orán,Argentina,Salta","San Ramón de la Nueva Orán,Argentina,Salta"
"San Rafael,Argentina,Mendoza","San Rafael,Argentina,Mendoza"
"San Pedro,Argentina,Jujuy","San Pedro,Argentina,Jujuy"
"San Nicolás de los Arroyos,Argentina,Buenos Aires","San Nicolás de los Arroyos,Argentina,Buenos Aires"
"San Miguel de Tucumán,Argentina,Tucumán","San Miguel de Tucumán,Argentina,Tucumán"
"San Martín de los Andes,Argentina,Neuquen","San Martín de los Andes,Argentina,Neuquen"
"San Martín,Argentina,Mendoza","San Martín,Argentina,Mendoza"
"San Luis,Argentina,San Luis","San Luis,Argentina,San Luis"
"San Justo,Argentina,Santa Fe","San Justo,Argentina,Santa Fe"
"San Juan,Argentina,San Juan","San Juan,Argentina,San Juan"
"San José de Jáchal,Argentina,San Juan","San José de Jáchal,Argentina,San Juan"
"San Jorge,Argentina,Santa Fe","San Jorge,Argentina,Santa Fe"
"San Francisco,Argentina,Cordoba","San Francisco,Argentina,Cordoba"
"San Fernando del Valle de Catamarca,Argentina,Catamarca","San Fernando del Valle de Catamarca,Argentina,Catamarca"
"San Antonio Oeste,Argentina,Rio Negro","San Antonio Oeste,Argentina,Rio Negro"
"Salta,Argentina,Salta","Salta,Argentina,Salta"
"Rufino,Argentina,Santa Fe","Rufino,Argentina,Santa Fe"
"Rosario,Argentina,Santa Fe","Rosario,Argentina,Santa Fe"
"Río Tercero,Argentina,Cordoba","Río Tercero,Argentina,Cordoba"
"Río Segundo,Argentina,Cordoba","Río Segundo,Argentina,Cordoba"
"Río Gallegos,Argentina,Santa Cruz","Río Gallegos,Argentina,Santa Cruz"
"Río Cuarto,Argentina,Cordoba","Río Cuarto,Argentina,Cordoba"
"Río Ceballos,Argentina,Cordoba","Río Ceballos,Argentina,Cordoba"
"Rawson,Argentina,Chubut","Rawson,Argentina,Chubut"
"Rafaela,Argentina,Santa Fe","Rafaela,Argentina,Santa Fe"
"Quitilipi,Argentina,Chaco","Quitilipi,Argentina,Chaco"
"Punta Alta,Argentina,Buenos Aires","Punta Alta,Argentina,Buenos Aires"
"Puerto Madryn,Argentina,Chubut","Puerto Madryn,Argentina,Chubut"
"Presidencia Roque Sáenz Peña,Argentina,Chaco","Presidencia Roque Sáenz Peña,Argentina,Chaco"
"Pocito,Argentina,San Juan","Pocito,Argentina,San Juan"
"Plottier,Argentina,Neuquen","Plottier,Argentina,Neuquen"
"Pergamino,Argentina,Buenos Aires","Pergamino,Argentina,Buenos Aires"
"Pérez,Argentina,Santa Fe","Pérez,Argentina,Santa Fe"
"Paraná,Argentina,Entre Rios","Paraná,Argentina,Entre Rios"
"Palpalá,Argentina,Jujuy","Palpalá,Argentina,Jujuy"
"Olavarría,Argentina,Buenos Aires","Olavarría,Argentina,Buenos Aires"
"Nueve de Julio,Argentina,Buenos Aires","Nueve de Julio,Argentina,Buenos Aires"
"Neuquén,Argentina,Neuquen","Neuquén,Argentina,Neuquen"
"Morteros,Argentina,Cordoba","Morteros,Argentina,Cordoba"
"Monteros,Argentina,Tucumán","Monteros,Argentina,Tucumán"
"Mendoza,Argentina,Mendoza","Mendoza,Argentina,Mendoza"
"Marcos Juárez,Argentina,Cordoba","Marcos Juárez,Argentina,Cordoba"
"Machagai,Argentina,Chaco","Machagai,Argentina,Chaco"
"Lincoln,Argentina,Buenos Aires","Lincoln,Argentina,Buenos Aires"
"Libertador General San Martín,Argentina,Jujuy","Libertador General San Martín,Argentina,Jujuy"
"Las Breñas,Argentina,Chaco","Las Breñas,Argentina,Chaco"
"La Rioja,Argentina,La Rioja","La Rioja,Argentina,La Rioja"
"La Falda,Argentina,Cordoba","La Falda,Argentina,Cordoba"
"La Calera,Argentina,Cordoba","La Calera,Argentina,Cordoba"
"Laboulaye,Argentina,Cordoba","Laboulaye,Argentina,Cordoba"
"Junín,Argentina,Buenos Aires","Junín,Argentina,Buenos Aires"
"Joaquín V. González,Argentina,Salta","Joaquín V. González,Argentina,Salta"
"Jesús María,Argentina,Cordoba","Jesús María,Argentina,Cordoba"
"Granadero Baigorria,Argentina,Santa Fe","Granadero Baigorria,Argentina,Santa Fe"
"Gobernador Gálvez,Argentina,Santa Fe","Gobernador Gálvez,Argentina,Santa Fe"
"General Roca,Argentina,Rio Negro","General Roca,Argentina,Rio Negro"
"General Pinedo,Argentina,Chaco","General Pinedo,Argentina,Chaco"
"General Pico,Argentina,La Pampa","General Pico,Argentina,La Pampa"
"General Enrique Mosconi,Argentina,Salta","General Enrique Mosconi,Argentina,Salta"
"Gálvez,Argentina,Santa Fe","Gálvez,Argentina,Santa Fe"
"Firmat,Argentina,Santa Fe","Firmat,Argentina,Santa Fe"
"Famaillá,Argentina,Tucumán","Famaillá,Argentina,Tucumán"
"Esquel,Argentina,Chubut","Esquel,Argentina,Chubut"
"Esperanza,Argentina,Santa Fe","Esperanza,Argentina,Santa Fe"
"Embarcación,Argentina,Salta","Embarcación,Argentina,Salta"
"Embalse,Argentina,Cordoba","Embalse,Argentina,Cordoba"
"El Bolsón,Argentina,Rio Negro","El Bolsón,Argentina,Rio Negro"
"Diamante,Argentina,Entre Rios","Diamante,Argentina,Entre Rios"
"Deán Funes,Argentina,Cordoba","Deán Funes,Argentina,Cordoba"
"Cutral-Có,Argentina,Neuquen","Cutral-Có,Argentina,Neuquen"
"Cruz del Eje,Argentina,Cordoba","Cruz del Eje,Argentina,Cordoba"
"Crespo,Argentina,Entre Rios","Crespo,Argentina,Entre Rios"
"Cosquín,Argentina,Cordoba","Cosquín,Argentina,Cordoba"
"Coronel Suárez,Argentina,Buenos Aires","Coronel Suárez,Argentina,Buenos Aires"
"Coronda,Argentina,Santa Fe","Coronda,Argentina,Santa Fe"
"Córdoba,Argentina,Cordoba","Córdoba,Argentina,Cordoba"
"Comodoro Rivadavia,Argentina,Chubut","Comodoro Rivadavia,Argentina,Chubut"
"Cipolletti,Argentina,Rio Negro","Cipolletti,Argentina,Rio Negro"
"Cinco Saltos,Argentina,Rio Negro","Cinco Saltos,Argentina,Rio Negro"
"Chivilcoy,Argentina,Buenos Aires","Chivilcoy,Argentina,Buenos Aires"
"Chimbas,Argentina,San Juan","Chimbas,Argentina,San Juan"
"Chilecito,Argentina,La Rioja","Chilecito,Argentina,La Rioja"
"Charata,Argentina,Chaco","Charata,Argentina,Chaco"
"Chacabuco,Argentina,Buenos Aires","Chacabuco,Argentina,Buenos Aires"
"Centenario,Argentina,Neuquen","Centenario,Argentina,Neuquen"
"Caucete,Argentina,San Juan","Caucete,Argentina,San Juan"
"Catriel,Argentina,Rio Negro","Catriel,Argentina,Rio Negro"
"Castelli,Argentina,Chaco","Castelli,Argentina,Chaco"
"Casilda,Argentina,Santa Fe","Casilda,Argentina,Santa Fe"
"Carcarañá,Argentina,Santa Fe","Carcarañá,Argentina,Santa Fe"
"Capitán Bermúdez,Argentina,Santa Fe","Capitán Bermúdez,Argentina,Santa Fe"
"Cañada de Gómez,Argentina,Santa Fe","Cañada de Gómez,Argentina,Santa Fe"
"Caleta Olivia,Argentina,Santa Cruz","Caleta Olivia,Argentina,Santa Cruz"
"Bell Ville,Argentina,Cordoba","Bell Ville,Argentina,Cordoba"
"Bella Vista,Argentina,Tucumán","Bella Vista,Argentina,Tucumán"
"Bahía Blanca,Argentina,Buenos Aires","Bahía Blanca,Argentina,Buenos Aires"
"Arroyo Seco,Argentina,Santa Fe","Arroyo Seco,Argentina,Santa Fe"
"Arroyito,Argentina,Cordoba","Arroyito,Argentina,Cordoba"
"Añatuya,Argentina,Santiago del Estero","Añatuya,Argentina,Santiago del Estero"
"Alta Gracia,Argentina,Cordoba","Alta Gracia,Argentina,Cordoba"
"Allen,Argentina,Rio Negro","Allen,Argentina,Rio Negro"
"Alderetes,Argentina,Tucumán","Alderetes,Argentina,Tucumán"
"Albardón,Argentina,San Juan","Albardón,Argentina,San Juan"
"Aguilares,Argentina,Tucumán","Aguilares,Argentina,Tucumán"
"Villa Santa Rita,Argentina,Buenos Aires F.D.","Villa Santa Rita,Argentina,Buenos Aires F.D."
"Villa Mercedes,Argentina,San Luis","Villa Mercedes,Argentina,San Luis"
"San Carlos de Bariloche,Argentina,Rio Negro","San Carlos de Bariloche,Argentina,Rio Negro"
"Adrogué,Argentina,Buenos Aires","Adrogué,Argentina,Buenos Aires"
"Pago Pago,American Samoa,Eastern District","Pago Pago,American Samoa,Eastern District"
"Wolfsberg,Austria,Carinthia","Wolfsberg,Austria,Carinthia"
"Wiener Neustadt,Austria,Lower Austria","Wiener Neustadt,Austria,Lower Austria"
"Vienna,Austria,Vienna","Vienna,Austria,Vienna"
"Wels,Austria,Upper Austria","Wels,Austria,Upper Austria"
"Weinzierl bei Krems,Austria,Lower Austria","Weinzierl bei Krems,Austria,Lower Austria"
"Villach,Austria,Carinthia","Villach,Austria,Carinthia"
"Traun,Austria,Upper Austria","Traun,Austria,Upper Austria"
"Traiskirchen,Austria,Lower Austria","Traiskirchen,Austria,Lower Austria"
"Ternitz,Austria,Lower Austria","Ternitz,Austria,Lower Austria"
"Steyr,Austria,Upper Austria","Steyr,Austria,Upper Austria"
"Spittal an der Drau,Austria,Carinthia","Spittal an der Drau,Austria,Carinthia"
"Schwechat,Austria,Lower Austria","Schwechat,Austria,Lower Austria"
"Sankt Pölten,Austria,Lower Austria","Sankt Pölten,Austria,Lower Austria"
"Salzburg,Austria,Salzburg","Salzburg,Austria,Salzburg"
"Saalfelden am Steinernen Meer,Austria,Salzburg","Saalfelden am Steinernen Meer,Austria,Salzburg"
"Mödling,Austria,Lower Austria","Mödling,Austria,Lower Austria"
"Lustenau,Austria,Vorarlberg","Lustenau,Austria,Vorarlberg"
"Linz,Austria,Upper Austria","Linz,Austria,Upper Austria"
"Leonding,Austria,Upper Austria","Leonding,Austria,Upper Austria"
"Leoben,Austria,Styria","Leoben,Austria,Styria"
"Kufstein,Austria,Tyrol","Kufstein,Austria,Tyrol"
"Krems an der Donau,Austria,Lower Austria","Krems an der Donau,Austria,Lower Austria"
"Klosterneuburg,Austria,Lower Austria","Klosterneuburg,Austria,Lower Austria"
